Skill,Date of Birth,Peak Activity Date,Avg Views,Avg Score,Avg Answers,Total Posts,Immunity Score
tstringlist,2008-11-10 22:50:25.137,2008-11,7448.67,12.33,4.67,3,Low
processstartinfo,2008-10-20 22:46:16.457,2008-10,4852.67,2.0,2.0,3,Low
buildfarm,2008-10-22 15:45:05.497,2008-10,11899.0,33.0,8.0,1,Low
dmz,2008-10-22 15:49:04.817,2008-10,1921.0,3.0,2.0,1,Low
machinekey,2008-11-13 22:29:55.590,2008-11,9692.5,9.0,2.0,2,Low
darwin,2008-10-20 23:38:55.010,2008-10,6874.8,5.0,3.4,5,Low
integrity,2008-11-13 22:33:37.783,2008-11,1606.6,4.4,1.8,5,Low
jbi,2008-11-06 11:36:45.603,2008-11,1445.0,0.0,1.0,1,Low
jquery-events,2008-11-01 22:24:34.973,2009-08,85782.88,101.64,5.06,33,Low
configurationelement,2008-10-30 13:59:45.167,2008-10,11287.0,6.0,2.0,1,Low
tabpage,2008-11-06 11:57:05.000,2008-11,3312.0,1.0,1.0,4,Low
arduino,2008-11-01 23:09:52.883,2009-06,17852.67,20.67,5.13,15,Low
paramiko,2008-10-30 14:09:21.873,2008-10,157181.0,77.25,7.25,4,Low
strtok,2008-11-07 17:32:47.930,2008-11,4338.8,2.4,4.4,5,Low
indirection,2008-11-13 22:47:43.807,2008-11,11843.33,21.0,3.67,3,Low
scriptlet,2008-11-11 12:00:46.693,2008-11,8167.0,3.0,1.0,1,Low
ipconfig,2008-11-02 01:02:35.200,2008-11,64702.67,8.0,4.33,3,Low
speech-synthesis,2008-11-11 22:13:38.297,2008-11,424.0,2.0,1.0,1,Low
sitemesh,2008-11-11 22:15:42.273,2008-11,4282.33,8.5,1.67,6,Low
zebra-printers,2008-10-21 16:10:31.607,2008-10,4941.33,4.33,2.33,3,Low
soft-hyphen,2008-10-22 16:00:44.513,2008-10,211214.0,179.0,12.0,1,Low
shared-memory,2008-11-04 17:54:34.580,2009-05,11924.5,6.38,3.5,16,Low
drupal-fapi,2008-11-06 12:27:54.753,2009-07,4038.0,1.25,2.0,4,Low
mysql++,2008-10-19 09:10:19.753,2008-10,845.5,0.0,3.0,2,Low
data-layers,2008-10-28 14:26:37.843,2008-10,2559.4,2.6,3.4,5,Low
turing-complete,2008-10-30 14:37:16.293,2008-10,10799.14,32.86,8.0,7,Low
edge-detection,2008-10-16 08:08:16.467,2008-10,8177.0,7.5,4.0,2,Low
front-controller,2008-10-30 14:59:01.023,2008-10,1441.6,1.8,1.6,5,Low
linker-errors,2008-11-07 17:39:56.217,2009-07,17541.23,22.46,3.23,13,Low
poisson,2008-11-11 12:51:43.533,2008-11,29736.2,13.2,4.8,5,Low
file-uri,2008-11-18 23:12:58.950,2009-07,9263.25,7.0,2.75,4,Low
car-analogy,2008-11-10 21:02:23.077,2008-11,103879.75,28.25,16.25,4,Low
codeguard,2008-11-10 21:05:32.600,2008-11,1848.0,2.0,2.0,1,Low
byval,2008-11-14 14:12:20.510,2008-11,10655.0,9.5,6.5,2,Low
pleasewait,2008-11-18 23:52:29.447,2008-11,3124.0,1.0,2.0,2,Low
invite,2008-11-19 00:10:36.633,2008-11,2176.5,0.5,1.5,2,Low
great-circle,2008-11-12 04:32:30.687,2008-11,43584.33,68.0,5.67,3,Low
tinyint,2008-11-14 14:29:46.183,2008-11,132820.0,123.0,6.0,1,Low
stateful,2008-11-14 14:31:46.240,2008-11,5608.0,5.0,3.6,5,Low
elementhost,2008-11-17 19:09:35.587,2008-11,9250.0,9.0,2.6,5,Low
scsf,2008-11-17 19:09:42.653,2008-11,878.67,1.67,2.0,3,Low
branching-and-merging,2008-10-19 09:33:25.073,2008-10,335808.5,760.5,10.0,2,Low
.net-4.0,2008-11-13 03:37:16.427,2009-07,5544.2,8.96,3.4,25,Low
browser-detection,2008-10-16 15:31:01.923,2009-06,75761.27,74.82,8.27,11,Low
http-verbs,2008-11-12 07:00:46.503,2008-11,15336.0,11.0,2.5,2,Low
png-8,2008-11-14 14:50:37.467,2008-11,5740.0,5.0,7.0,1,Low
substitution,2008-11-12 07:08:36.410,2008-12,12078.33,13.8,3.67,15,Low
woodstox,2008-11-14 14:59:28.197,2008-11,34566.0,26.0,10.0,1,Low
pair-programming,2008-11-14 15:05:30.417,2009-03,3998.1,11.2,9.7,10,Low
windows-firewall,2008-11-12 07:16:58.513,2009-03,2879.67,8.0,1.67,3,Low
apdu,2008-11-12 07:32:14.490,2008-11,19998.5,6.5,5.5,2,Low
ascmd,2008-11-05 14:29:18.407,2008-11,3282.0,3.0,2.0,3,Low
sitedesign,2008-11-14 15:16:42.517,2008-11,2497.0,2.0,4.0,1,Low
mdf,2008-10-19 09:58:51.620,2009-08,40659.86,14.86,3.21,14,Low
variable-length,2008-11-12 07:58:29.100,2008-11,16308.0,11.0,8.0,2,Low
security-by-obscurity,2008-11-14 15:23:01.940,2008-11,29139.0,48.5,13.0,2,Low
visitor-pattern,2008-11-12 08:43:50.740,2009-02,3076.38,8.06,3.25,16,Low
class-structure,2008-10-20 23:51:14.063,2008-10,1648.5,2.0,2.5,2,Low
cpu-usage,2008-11-09 18:35:14.543,2009-06,22962.74,16.52,4.56,27,Low
risk-analysis,2008-11-02 02:56:01.507,2008-11,743.0,2.0,8.0,1,Low
jcanvas,2008-11-06 13:01:16.823,2008-11,1648.0,1.0,1.0,1,Low
stringescapeutils,2008-10-30 21:38:25.973,2008-10,7972.0,2.0,2.0,1,Low
integral,2008-11-12 09:03:22.590,2008-11,744.0,1.0,2.0,1,Low
jquery-ui-droppable,2008-11-12 09:14:27.683,2008-11,27012.0,14.0,1.8,5,Low
contextmenustrip,2008-11-12 09:27:30.373,2008-11,9052.4,1.6,2.4,5,Low
build-server,2008-11-14 15:40:50.377,2009-01,3139.0,3.75,4.75,4,Low
mailing,2008-11-13 04:03:46.860,2008-11,2151.0,6.5,6.5,2,Low
basehttpserver,2008-11-06 13:10:54.260,2008-11,61543.5,41.0,9.0,2,Low
feature-extraction,2008-11-20 05:13:27.770,2008-11,22725.0,3.0,8.0,1,Low
in-memory-database,2008-11-20 05:16:51.087,2008-11,6978.33,8.0,3.67,3,Low
securitymanager,2008-11-14 15:59:12.803,2008-11,3443.0,6.25,2.25,4,Low
dmg,2008-11-12 10:08:53.457,2008-11,13244.88,11.38,3.12,8,Low
lostfocus,2008-11-14 16:13:06.100,2008-11,1301.0,1.0,2.0,1,Low
operations,2008-11-13 23:08:40.987,2008-11,5433.33,2.67,3.0,3,Low
magic-quotes,2008-10-21 00:50:27.813,2009-01,9147.5,9.0,6.0,4,Low
necklaces,2008-11-04 18:23:40.387,2008-11,2462.0,7.0,4.0,1,Low
mod-dav-svn,2008-11-17 19:43:44.487,2009-03,7291.0,5.0,2.5,4,Low
jinterface,2008-11-12 11:23:02.073,2008-11,907.0,2.0,4.0,1,Low
hidden-characters,2008-11-18 20:47:32.987,2008-11,42574.33,16.0,8.0,3,Low
lines-of-code,2008-11-14 16:33:24.547,2008-11,14982.29,8.43,7.86,7,Low
stub-data-generation,2008-11-14 16:36:34.383,2008-11,1107.0,1.0,2.0,1,Low
tarfile,2008-11-12 11:49:46.763,2008-11,93591.0,78.0,5.0,1,Low
pull,2008-11-14 16:52:12.730,2008-11,4024.0,11.6,2.0,5,Low
subscriber,2008-11-14 16:52:12.730,2008-11,2443.0,8.0,1.0,1,Low
mdac,2008-11-12 12:26:59.760,2008-11,13116.6,1.6,2.6,5,Low
flex-builder-3,2008-11-14 17:20:33.700,2009-03,1529.43,1.29,2.86,7,Low
default-package,2008-11-12 12:36:21.940,2008-11,85229.0,109.0,5.0,1,Low
abstract-data-type,2008-11-02 03:56:20.043,2008-11,1145.5,0.0,2.0,2,Low
anonymous,2008-11-12 13:04:00.560,2009-06,33253.08,11.08,5.31,13,Low
smp,2008-11-11 13:47:00.207,2009-06,22631.83,63.83,4.5,6,Low
smtplib,2008-11-03 17:09:05.997,2008-11,38122.5,11.0,6.5,2,Low
shallow-copy,2008-11-12 13:29:19.947,2008-11,32703.0,29.29,5.14,7,Low
tlist,2008-11-12 13:38:46.433,2008-11,6402.0,2.0,6.0,1,Low
galleria,2008-10-15 15:09:22.577,2008-10,360207.0,191.0,10.0,1,Low
maximize,2008-11-20 06:33:14.003,2008-11,6183.4,2.8,2.6,5,Low
save-as,2008-11-12 13:42:57.767,2008-12,81612.67,94.67,8.33,3,Low
set-difference,2008-11-12 13:50:19.547,2008-11,68966.0,86.0,10.0,1,Low
xsp,2008-11-14 17:51:40.580,2008-11,2536.5,1.0,3.5,2,Low
rtml,2008-11-02 04:23:43.670,2008-11,331.0,2.5,4.0,2,Low
video-embedding,2008-11-14 18:00:51.420,2008-11,404.0,3.0,2.0,1,Low
geography,2008-10-16 08:35:25.070,2008-11,39342.87,33.2,5.07,15,Low
keyword-substitution,2008-11-14 18:14:34.997,2008-11,3748.0,3.0,3.0,1,Low
handheld,2008-11-03 17:12:19.483,2008-11,8011.0,7.83,4.83,6,Low
caspol,2008-11-17 09:59:53.230,2008-11,1021.0,0.25,1.75,4,Low
contentplaceholder,2008-11-14 19:02:02.797,2009-04,3457.0,2.29,2.43,7,Low
fileversioninfo,2008-11-12 15:16:35.503,2008-11,217995.0,138.0,15.0,1,Low
google-earth,2008-11-14 19:11:19.843,2009-08,5498.3,2.8,3.1,10,Low
sap-hr,2008-11-12 20:41:30.620,2008-11,6240.0,2.5,2.0,2,Low
ora-00904,2008-11-14 19:51:20.543,2008-11,35282.25,19.5,4.5,4,Low
blat,2008-10-25 22:53:52.003,2008-10,2284.0,2.0,2.0,1,Low
calendarextender,2008-11-10 23:26:41.053,2009-05,29144.0,7.6,3.8,5,Low
spweb,2008-10-30 21:48:49.010,2008-10,370.0,0.0,2.0,1,Low
tao-framework,2008-10-30 21:50:32.487,2008-10,1497.0,1.5,2.0,2,Low
datacolumncollection,2008-10-25 23:32:13.157,2008-10,19717.5,43.0,2.0,2,Low
nodelist,2008-11-19 01:57:06.620,2008-11,479.0,4.0,1.0,1,Low
apache-config,2008-10-25 23:36:52.960,2009-07,51155.07,23.67,3.8,15,Low
zope,2008-10-25 23:41:52.453,2009-08,890.0,2.0,2.11,9,Low
django-treebeard,2008-11-14 20:14:56.500,2008-11,7349.0,5.0,4.0,1,Low
iprincipal,2008-11-12 16:28:49.443,2008-11,4035.75,4.25,3.0,4,Low
transoft,2008-11-12 16:32:57.313,2008-11,966.0,3.0,1.0,1,Low
gmt,2008-11-21 13:02:16.543,2008-11,414837.0,197.33,13.67,3,Low
qr-code,2008-10-23 22:12:43.013,2008-11,48179.67,26.0,5.0,3,Low
ui-design,2008-10-26 01:52:28.553,2008-10,380.0,1.0,1.0,1,Low
googlebot,2008-11-21 13:24:30.133,2009-08,486.33,2.33,2.67,3,Low
clistctrl,2008-11-21 13:27:49.440,2009-07,3033.0,2.5,1.67,6,Low
jlist,2008-11-23 14:37:50.407,2009-05,3653.08,3.08,1.92,12,Low
github,2008-10-26 02:31:10.300,2009-04,16738.86,30.19,4.57,21,Low
strongname,2008-11-19 12:13:10.527,2009-04,21550.59,22.65,2.82,17,Low
repaint,2008-11-04 23:41:36.703,2009-03,7380.5,3.0,2.1,10,Low
constructor-overloading,2008-11-23 16:41:56.180,2008-11,4069.0,6.5,8.5,2,Low
identity-column,2008-11-11 23:05:58.910,2009-05,19080.17,20.83,4.83,6,Low
antlrworks,2008-11-21 13:47:49.150,2008-11,925.5,1.25,1.75,4,Low
launching-application,2008-11-21 13:51:35.993,2008-11,20517.0,65.0,7.0,1,Low
screensaver,2008-11-23 18:12:50.427,2009-05,4108.89,6.78,4.0,9,Low
fpdf,2008-11-23 18:20:09.257,2009-07,41454.0,10.17,5.67,6,Low
qnx,2008-11-23 19:34:16.127,2009-01,2500.67,1.33,2.33,3,Low
cql,2008-11-12 01:32:36.617,2008-11,637.33,2.0,1.33,3,Low
documents,2008-11-21 14:42:49.900,2008-11,2104.0,0.75,2.0,4,Low
zcat,2008-11-17 20:06:06.173,2009-03,17249.67,19.0,4.0,3,Low
functools,2008-11-21 14:53:40.610,2008-11,283367.0,993.0,7.0,1,Low
plist,2008-11-02 05:26:36.023,2009-07,9678.45,7.23,3.5,22,Low
externalinterface,2008-11-19 18:11:56.840,2009-05,4451.0,1.94,2.28,18,Low
ssi,2008-11-23 20:02:13.043,2009-08,77424.67,7.17,3.17,6,Low
pycurl,2008-11-02 05:38:48.870,2009-02,20296.38,8.5,3.25,8,Low
groupname,2008-11-23 21:31:32.083,2008-11,6492.0,0.5,6.0,2,Low
point,2008-11-19 20:26:52.793,2008-11,6006.12,5.75,3.38,8,Low
invocation,2008-11-20 08:40:40.377,2008-11,3503.2,3.2,3.8,5,Low
komodoedit,2008-11-21 15:38:10.707,2008-11,14349.5,9.0,6.5,2,Low
fsfs,2008-11-11 23:10:24.550,2009-05,19531.8,22.0,5.0,5,Low
vsinstaller,2008-11-20 08:52:21.197,2008-11,374.67,0.33,1.33,3,Low
flashwindowex,2008-11-21 15:54:06.650,2008-11,496.0,1.0,1.0,2,Low
racket,2008-11-08 21:59:43.553,2009-07,4239.8,4.87,2.8,15,Low
yahoo-widgets,2008-11-20 09:00:08.763,2008-11,450.5,0.0,1.5,2,Low
packing,2008-11-04 23:57:58.870,2009-05,4911.67,6.0,3.67,6,Low
firmware,2008-10-23 21:09:28.507,2009-02,12481.9,12.2,4.9,10,Low
dbase,2008-11-21 16:16:04.377,2008-11,2982.8,1.6,2.0,5,Low
actualwidth,2008-11-21 02:45:12.123,2008-11,3178.75,5.0,1.75,4,Low
regfreecom,2008-11-05 14:10:02.767,2008-11,2602.33,5.33,3.11,9,Low
ibatis.net,2008-10-15 15:31:29.083,2009-03,10842.6,5.2,3.4,5,Low
mom,2008-11-21 16:31:30.273,2008-11,17900.0,20.0,7.5,2,Low
testability,2008-11-21 16:38:58.930,2008-11,46031.67,90.33,8.67,3,Low
setuptools,2008-11-21 16:44:44.833,2009-07,11006.27,14.4,3.8,15,Low
marshalbyrefobject,2008-11-23 11:59:06.343,2008-11,3791.4,5.0,2.6,5,Low
lnk,2008-11-21 17:09:05.720,2008-12,17530.5,20.5,5.75,4,Low
ora-00911,2008-11-24 03:06:13.267,2008-11,8691.0,5.5,1.0,2,Low
feedparser,2008-10-22 11:09:20.513,2008-10,5436.0,7.0,1.5,2,Low
azure,2008-11-11 04:49:21.883,2009-08,2595.51,5.76,2.82,45,Low
undo-redo,2008-11-24 04:17:49.237,2009-05,20903.0,30.25,4.12,8,Low
referrals,2008-11-05 14:12:24.167,2008-11,1043.0,1.0,4.0,1,Low
cjk,2008-11-21 17:22:10.390,2009-07,3337.29,4.0,2.86,14,Low
parasoft,2008-11-11 14:36:15.973,2008-11,1230.5,2.5,2.0,2,Low
non-static,2008-11-21 17:59:09.720,2008-11,16801.0,20.0,6.0,1,Low
uclibc,2008-11-21 18:16:08.283,2008-11,4354.0,8.0,5.0,1,Low
misv,2008-11-24 05:17:23.127,2008-11,671.0,4.0,5.0,1,Low
service-tier,2008-11-03 17:50:57.240,2008-11,8118.5,25.5,3.5,2,Low
cfloop,2008-11-04 18:54:14.753,2008-11,613.0,0.0,3.0,1,Low
boolean-operations,2008-11-05 00:13:08.963,2008-11,3393067.0,3521.0,106.0,1,Low
rigid-bodies,2008-11-21 18:41:15.893,2008-11,4418.0,5.0,5.0,2,Low
datemodified,2008-11-21 18:44:26.727,2008-11,1218.0,2.0,2.0,1,Low
time-wait,2008-11-21 19:01:07.973,2008-11,9441.5,1.75,2.0,4,Low
pascal,2008-11-21 19:04:41.117,2009-07,7146.12,7.12,4.44,16,Low
clipper,2008-11-21 19:07:53.390,2008-11,2613.67,2.67,5.33,3,Low
hierarchical,2008-11-24 07:00:19.813,2009-08,2547.86,1.86,2.71,7,Low
keep-alive,2008-11-24 07:07:16.337,2009-04,13014.47,9.93,3.53,15,Low
remobjects,2008-11-20 10:43:33.330,2008-11,5910.0,6.0,4.0,1,Low
triplestore,2008-11-20 10:44:53.903,2008-11,4534.0,11.0,9.0,1,Low
design-principles,2008-11-21 19:16:56.943,2009-07,1373.0,3.22,7.22,9,Low
finally,2008-11-13 05:01:39.923,2008-11,14143.8,18.5,7.7,10,Low
device-manager,2008-11-20 11:12:46.890,2008-11,50275.0,16.0,8.0,1,Low
memory-alignment,2008-11-11 14:40:03.907,2009-02,32560.43,61.43,4.29,7,Low
associate,2008-11-24 08:24:15.527,2008-11,1784.0,1.0,3.0,1,Low
wpas,2008-10-21 02:09:31.883,2008-10,662.0,2.0,1.0,1,Low
gitolite,2008-11-04 19:00:45.897,2008-11,5552.5,7.0,3.0,2,Low
maven-scm,2008-10-30 22:09:13.587,2008-10,5714.0,4.0,2.0,4,Low
non-printing-characters,2008-10-21 02:12:05.823,2008-10,26579.0,36.0,2.0,1,Low
selected,2008-10-26 07:00:20.633,2009-05,4059.57,2.71,2.0,7,Low
cfront,2008-11-21 20:01:56.137,2008-11,5161.0,3.0,4.0,1,Low
technical-debt,2008-11-21 20:05:00.950,2008-11,566.0,6.0,11.0,1,Low
enter,2008-11-24 09:22:07.157,2008-11,255230.4,77.2,5.8,5,Low
typeerror,2008-11-10 23:54:43.943,2008-11,1624.0,2.0,1.0,1,Low
aero,2008-11-24 09:57:47.540,2009-07,8551.12,6.5,2.0,8,Low
openmp,2008-11-24 10:16:52.197,2009-08,5981.55,7.45,3.73,11,Low
isapi,2008-11-05 14:20:58.130,2009-05,2049.63,1.67,2.22,27,Low
caption,2008-11-05 14:21:46.707,2008-11,1180.33,0.33,1.33,3,Low
richtextediting,2008-11-03 18:01:29.713,2009-07,2119.75,2.12,2.5,8,Low
jqgrid,2008-11-03 18:02:19.947,2009-08,17575.76,6.5,3.26,42,Low
global-assembly-cache,2008-11-24 10:35:04.903,2008-11,5248.33,3.33,3.67,3,Low
boundfield,2008-11-21 20:38:57.793,2008-11,16820.0,22.0,2.0,1,Low
srv,2008-11-24 11:00:38.770,2008-11,5891.5,3.0,2.5,2,Low
gridviewheader,2008-11-24 11:07:11.347,2008-11,3621.5,1.5,2.0,2,Low
jdialog,2008-11-24 11:27:08.077,2009-02,6761.0,4.8,2.0,5,Low
custom-cursor,2008-11-24 11:27:08.077,2008-11,7443.0,4.0,2.0,1,Low
fastmm,2008-11-20 12:17:17.180,2009-07,8314.11,13.33,3.78,9,Low
wmode,2008-11-24 11:47:58.627,2009-02,5813.29,3.29,4.0,7,Low
visual-studio-project,2008-11-21 21:04:36.587,2009-07,3553.75,4.25,4.0,4,Low
flatten,2008-11-24 11:50:29.137,2008-11,13919.33,14.33,2.33,3,Low
inotifycollectionchanged,2008-11-11 15:00:07.253,2008-11,71861.5,94.0,7.5,2,Low
dbx,2008-11-24 12:00:15.467,2008-11,6213.75,5.5,4.0,4,Low
xcelsius,2008-10-30 22:14:57.413,2008-10,5538.0,3.0,3.0,1,Low
epson,2008-11-21 12:17:09.380,2008-11,12728.5,5.0,2.0,2,Low
mvel,2008-11-24 12:44:52.910,2008-11,2047.0,4.0,2.0,1,Low
ws-reliablemessaging,2008-11-20 12:18:56.460,2008-11,369.0,0.0,1.0,1,Low
fsm,2008-11-04 19:17:32.010,2008-11,9580.8,7.6,6.0,5,Low
jobs,2008-10-16 15:54:45.073,2008-10,186461.0,94.0,9.67,3,Low
app-offline.htm,2008-11-21 21:42:29.990,2008-11,2736.67,7.33,3.33,3,Low
modular,2008-11-11 00:42:04.037,2008-11,3243.5,0.5,3.5,2,Low
winmerge,2008-11-20 12:34:35.787,2008-11,9985.67,11.33,2.67,3,Low
script#,2008-11-07 11:55:53.320,2008-11,3394.67,9.33,3.67,3,Low
managed-jscript,2008-11-07 11:55:53.320,2008-11,1629.0,6.0,5.0,2,Low
parrot,2008-11-21 21:55:07.547,2008-11,773.0,2.5,2.0,2,Low
inode,2008-11-21 22:02:15.847,2008-11,4451.0,4.25,3.25,4,Low
eaglview,2008-11-24 14:21:05.197,2009-07,3870.17,2.33,2.33,6,Low
nswindow,2008-11-24 14:21:22.593,2008-11,18590.75,28.0,2.75,4,Low
databinder,2008-11-20 17:15:39.060,2008-11,448.0,1.0,2.0,1,Low
labelfunction,2008-11-19 03:55:30.097,2008-11,15560.0,8.0,3.0,1,Low
linq-query-syntax,2008-11-11 00:50:49.963,2008-11,35469.0,67.0,8.0,1,Low
otool,2008-11-07 18:42:56.727,2008-11,6405.0,10.0,2.0,1,Low
user-defined-literals,2008-10-26 09:53:29.613,2008-10,40060.0,149.0,12.0,1,Low
sslstream,2008-10-26 09:59:03.767,2008-10,3277.0,9.0,1.5,4,Low
ps,2008-10-16 08:58:43.760,2008-10,25349.75,25.25,4.5,4,Low
notation,2008-11-02 09:27:37.910,2009-02,2177.27,3.36,2.73,11,Low
step-into,2008-11-24 14:44:03.700,2008-11,38590.0,23.67,7.0,3,Low
tail,2008-11-24 14:46:17.487,2009-06,24510.6,19.0,5.2,5,Low
array-intersect,2008-11-03 18:11:14.843,2008-11,2646.0,1.0,3.0,1,Low
packet,2008-11-21 22:52:10.130,2009-03,13061.24,6.71,4.24,17,Low
propertyinfo,2008-11-21 23:10:55.940,2009-06,8473.17,3.83,2.0,6,Low
jpa-2.0,2008-11-20 17:31:32.570,2008-11,195419.0,142.0,11.0,1,Low
mathml,2008-10-26 10:17:08.893,2009-03,12045.5,15.62,6.75,8,Low
forward,2008-11-21 23:39:34.323,2009-02,4562.0,1.0,1.8,5,Low
selectlist,2008-11-17 10:57:20.150,2009-03,26921.9,14.7,4.5,10,Low
discrete-mathematics,2008-10-22 11:48:13.993,2009-05,9347.33,6.89,4.78,9,Low
loader,2008-11-24 15:15:19.270,2009-07,2949.25,1.5,2.5,12,Low
visual-studio-2015,2008-11-05 00:58:41.070,2008-11,10800.0,72.0,4.0,1,Low
uilabel,2008-11-03 18:15:08.360,2009-06,25340.19,22.06,4.44,16,Low
preg-replace,2008-11-12 21:36:50.603,2009-07,8764.09,6.0,4.55,22,Low
key-management,2008-11-11 15:28:59.707,2008-11,7388.0,3.0,1.0,1,Low
cidr,2008-11-22 00:06:57.280,2009-02,38062.67,35.67,8.67,3,Low
load-data-infile,2008-11-24 16:05:48.590,2009-04,7750.5,4.33,3.42,12,Low
multiprocessing,2008-11-19 04:51:02.433,2009-08,22596.26,31.79,4.47,19,Low
relevance,2008-10-26 12:40:48.340,2008-10,16355.0,31.5,6.0,2,Low
kernel-module,2008-11-08 23:47:05.257,2009-04,23272.75,19.62,4.25,8,Low
setup.exe,2008-10-16 09:10:01.537,2008-10,3351.0,2.5,1.5,2,Low
energy,2008-11-19 05:16:08.153,2008-11,12972.0,24.67,7.33,3,Low
draggable,2008-11-12 21:46:49.583,2009-08,5544.55,4.5,2.55,20,Low
lotus,2008-11-12 21:47:17.383,2008-11,2971.75,2.5,3.75,4,Low
ihttpmodule,2008-11-22 02:05:33.687,2008-11,1046.67,0.67,1.67,3,Low
domain-object,2008-10-23 21:32:19.290,2008-10,2473.5,3.5,4.5,2,Low
limited-user,2008-11-24 16:36:31.790,2008-11,3849.33,7.67,3.33,3,Low
page-init,2008-11-24 19:32:04.290,2008-11,9431.0,8.5,2.0,2,Low
authenticity-token,2008-11-24 16:59:58.513,2009-08,57796.25,266.5,4.0,4,Low
cuda.net,2008-10-28 11:03:26.880,2008-10,40695.0,47.0,4.0,1,Low
depth-first-search,2008-11-20 14:34:43.143,2009-06,37136.75,54.75,2.5,4,Low
web2py,2008-11-03 18:22:17.923,2008-11,3736.62,7.88,4.12,8,Low
communication-protocol,2008-11-22 03:49:34.490,2008-11,3006.0,18.0,8.0,1,Low
java-time,2008-11-12 22:08:15.233,2008-11,106709.5,57.5,6.0,2,Low
auditing,2008-11-20 14:58:27.043,2009-02,5474.5,4.67,2.83,12,Low
visual-c++-2008-express,2008-11-22 05:21:34.710,2008-11,4044.67,5.33,3.0,3,Low
ppi,2008-11-11 01:19:34.787,2008-11,74719.0,64.0,14.0,1,Low
heap-fragmentation,2008-11-24 17:55:56.857,2008-11,2020.33,5.67,2.33,3,Low
css-sprites,2008-11-11 01:20:48.593,2009-07,3761.56,7.44,3.22,9,Low
fpdi,2008-11-18 05:09:29.493,2008-11,32851.5,13.5,4.5,2,Low
google-cloud-datastore,2008-11-05 01:56:20.550,2009-07,12270.4,19.31,3.09,35,Low
ora-00905,2008-11-20 15:06:34.607,2008-11,106264.5,13.0,3.5,2,Low
usb-flash-drive,2008-11-07 12:21:24.923,2008-11,22641.0,13.0,4.0,1,Low
hypervisor,2008-11-24 19:34:02.460,2008-11,1639.0,3.0,2.0,1,Low
pyodbc,2008-11-07 18:58:47.633,2009-06,22090.83,15.0,4.17,6,Low
usenet,2008-11-09 00:26:56.720,2008-11,512.0,4.0,4.0,1,Low
excel-formula,2008-11-24 18:15:25.023,2009-06,32117.77,6.51,3.49,35,Low
tail-call-optimization,2008-11-22 06:56:32.053,2008-12,38999.38,144.62,4.75,8,Low
pseudo-class,2008-11-22 07:58:09.637,2009-01,44960.6,35.8,5.8,5,Low
addeventlistener,2008-11-02 10:36:14.853,2008-11,208958.75,124.0,10.75,4,Low
quantum-computing,2008-11-22 08:06:20.480,2008-11,7157.0,14.0,7.0,2,Low
serving,2008-11-18 05:13:48.237,2008-11,5046.0,8.0,4.0,1,Low
panels,2008-11-11 01:42:22.900,2008-12,7737.33,3.5,2.67,6,Low
algorithmic-trading,2008-11-22 09:18:02.143,2008-11,6341.0,7.0,2.0,1,Low
feedback,2008-11-07 20:55:09.580,2008-11,1043.27,4.18,5.09,11,Low
openjpa,2008-11-24 19:11:40.230,2008-11,13457.6,8.4,2.2,5,Low
trust,2008-11-09 00:49:27.847,2008-11,813.33,3.33,3.67,3,Low
jxtable,2008-11-22 10:10:16.110,2008-11,1682.0,3.67,1.33,3,Low
bloom-filter,2008-11-22 10:53:57.770,2008-11,20735.0,59.0,6.0,1,Low
gridlines,2008-11-09 22:43:15.820,2008-11,5853.0,1.0,4.0,1,Low
apache-camel,2008-11-05 14:52:04.790,2008-11,2052.8,2.6,2.6,5,Low
bounded-wildcard,2008-10-30 22:57:03.977,2008-10,21645.0,36.75,2.75,4,Low
contour,2008-10-23 21:42:05.087,2008-10,5011.0,3.4,2.2,5,Low
restful-authentication,2008-11-26 01:47:29.850,2009-04,29905.88,53.94,3.71,17,Low
control-library,2008-11-20 15:52:17.433,2008-11,941.0,2.0,1.5,2,Low
curl-multi,2008-11-18 05:52:37.473,2009-08,5778.8,5.6,3.2,5,Low
msys,2008-10-21 04:05:54.550,2008-10,13927.4,14.0,4.0,5,Low
wm-command,2008-11-26 02:25:04.597,2008-11,4067.0,2.0,2.0,1,Low
syndication-feed,2008-11-26 02:34:38.290,2009-07,7648.38,10.0,4.0,8,Low
core-audio,2008-11-09 23:10:12.803,2009-06,6497.9,5.77,2.63,30,Low
amr,2008-11-09 23:10:12.803,2008-11,8880.5,7.0,3.0,2,Low
phusion,2008-11-03 18:40:59.180,2008-11,3703.43,7.14,3.14,7,Low
http-method,2008-11-27 08:47:34.450,2008-11,112225.5,141.5,8.0,2,Low
com-interface,2008-11-27 09:13:34.460,2008-11,300.0,2.0,1.0,1,Low
dynamic-typing,2008-11-27 09:36:57.797,2009-06,14748.5,14.62,4.62,8,Low
weak-typing,2008-11-27 09:36:57.797,2008-11,24480.0,22.0,7.5,2,Low
adapter,2008-11-26 04:12:44.347,2009-07,15332.77,19.15,3.77,13,Low
bridge,2008-11-26 04:12:44.347,2008-11,79492.33,259.67,13.67,3,Low
thin-client,2008-11-20 18:07:09.487,2008-11,234.0,0.0,3.0,1,Low
sql-view,2008-10-16 09:48:42.927,2008-10,52676.6,50.4,5.4,5,Low
xmlblaster,2008-11-03 18:47:37.403,2008-11,430.0,0.0,1.0,1,Low
