Skill,Date of Birth,Peak Activity Date,Avg Views,Avg Score,Avg Answers,Total Posts,Immunity Score,Tag Rank (Top 100),Tag Usage %
xml,2008-08-01 15:50:08.537,2014-03,3126.92,1.97,1.5,50066,Low,33.0,0.299
django,2008-08-21 19:41:57.870,2013-03,3474.29,3.51,1.5,47321,Low,34.0,0.2826
vba,2008-08-22 13:24:24.697,2016-06,4828.81,1.11,1.51,44826,Low,35.0,0.2677
database,2008-08-01 14:19:52.510,2014-03,4394.45,3.17,1.84,44415,Low,36.0,0.2653
arrays,2008-08-01 12:30:57.630,2016-03,4233.2,2.7,1.88,43998,Low,37.0,0.2628
swift,2009-01-19 16:55:32.907,2015-07,4103.27,4.6,1.68,43672,Low,38.0,0.2608
matlab,2008-08-07 18:47:58.487,2015-04,2103.76,1.25,1.35,42594,Low,39.0,0.2544
windows,2008-08-01 15:22:29.467,2014-03,8883.05,5.06,1.8,42532,Low,40.0,0.254
wordpress,2008-08-17 16:35:15.920,2014-03,2095.36,0.86,1.36,39969,Low,41.0,0.2387
wpf,2008-08-11 01:34:34.773,2013-01,3992.74,3.25,1.55,38807,Low,42.0,0.2318
bash,2008-08-11 10:40:41.363,2016-04,8959.9,7.86,2.15,36838,Low,43.0,0.22
scala,2008-09-10 13:15:29.083,2016-03,2815.12,4.26,1.58,36501,Low,44.0,0.218
twitter-bootstrap,2010-01-28 18:22:43.573,2015-07,6228.87,2.68,1.67,35624,Low,45.0,0.2128
xcode,2008-08-08 04:25:11.630,2012-11,3339.69,3.8,1.63,34543,Low,46.0,0.2063
spring,2008-09-11 18:43:19.940,2016-04,5447.54,2.89,1.42,32852,Low,47.0,0.1962
eclipse,2008-08-01 13:56:33.837,2014-03,4370.8,3.22,1.6,32027,Low,48.0,0.1913
mongodb,2008-09-08 20:16:16.717,2016-02,3915.03,3.18,1.36,31495,Low,49.0,0.1881
algorithm,2008-08-01 18:42:19.343,2015-04,4476.04,5.63,2.38,29598,Low,50.0,0.1768
string,2008-08-02 06:57:57.957,2014-03,8663.52,5.83,2.39,29399,Low,51.0,0.1756
macos,2008-08-04 18:51:38.543,2015-10,5356.73,5.07,1.63,28462,Low,52.0,0.17
forms,2008-08-02 19:51:50.250,2014-03,4096.33,2.08,1.7,28261,Low,53.0,0.1688
apache,2008-08-05 21:45:11.033,2014-01,4006.7,2.01,1.34,27075,Low,54.0,0.1617
perl,2008-08-06 02:53:13.033,2013-05,2611.66,2.46,2.09,26760,Low,55.0,0.1598
oracle,2008-08-02 01:52:54.653,2014-11,6694.62,1.95,1.65,26630,Low,56.0,0.1591
facebook,2008-08-21 21:38:43.190,2012-07,2146.99,1.49,1.18,24778,Low,57.0,0.148
image,2008-08-02 17:01:58.500,2014-04,4919.31,2.53,1.62,24015,Low,58.0,0.1434
postgresql,2008-08-03 17:44:07.450,2016-06,7686.98,5.56,1.58,23957,Low,59.0,0.1431
entity-framework,2008-08-14 00:24:43.320,2014-01,3320.07,2.93,1.48,23925,Low,60.0,0.1429
visual-studio,2008-08-03 14:53:53.550,2016-04,5556.07,6.38,1.95,23409,Low,61.0,0.1398
powershell,2008-08-05 18:01:32.547,2016-03,8235.7,3.76,1.65,22233,Low,62.0,0.1328
.htaccess,2008-08-12 03:58:21.910,2014-03,1827.98,1.15,1.28,21790,Low,63.0,0.1301
hibernate,2008-08-25 17:25:22.610,2014-09,4387.6,2.29,1.38,21039,Low,64.0,0.1257
performance,2008-08-01 05:21:22.257,2013-07,4254.23,6.94,2.07,21026,Low,65.0,0.1256
delphi,2008-08-12 12:10:14.663,2013-05,2960.18,2.63,1.76,20925,Low,66.0,0.125
shell,2008-08-04 21:04:06.407,2014-03,7500.91,5.37,1.97,20244,Low,67.0,0.1209
python-2.7,2010-04-02 17:42:16.030,2016-03,4146.02,2.2,1.48,20089,Low,68.0,0.12
symfony,2010-02-23 20:53:34.540,2016-02,2678.84,1.98,1.34,19730,Low,69.0,0.1178
multithreading,2008-08-04 07:30:01.727,2014-03,3335.06,3.84,1.75,19526,Low,70.0,0.1166
rest,2008-08-04 17:53:32.500,2015-07,5283.56,4.28,1.47,19194,Low,71.0,0.1146
actionscript-3,2008-08-05 16:09:12.570,2013-04,1053.25,0.57,1.39,19183,Low,72.0,0.1146
maven,2008-09-16 10:34:05.223,2015-07,5822.2,3.62,1.46,19171,Low,73.0,0.1145
cordova,2009-07-03 23:52:38.623,2015-07,2133.06,1.71,1.28,19158,Low,74.0,0.1144
uitableview,2008-09-24 15:54:26.390,2015-08,2161.15,1.91,1.77,19109,Low,75.0,0.1141
haskell,2008-08-05 14:16:02.720,2014-11,1392.38,5.46,1.72,19073,Low,76.0,0.1139
laravel,2012-06-07 08:46:37.830,2016-05,6533.66,3.48,1.66,18940,Low,77.0,0.1131
sqlite,2008-08-01 22:34:42.853,2015-03,3233.45,2.62,1.48,18312,Low,78.0,0.1094
asp.net-mvc-4,2010-07-09 10:17:44.757,2013-08,3510.29,2.01,1.43,18283,Low,79.0,0.1092
sql-server-2008,2008-08-12 21:47:45.277,2013-03,6776.0,2.55,1.89,18270,Low,80.0,0.1091
qt,2008-08-20 21:16:24.030,2013-08,3367.21,2.49,1.37,18168,Low,81.0,0.1085
linq,2008-08-01 13:20:46.890,2013-03,4007.78,3.3,1.9,18111,Low,82.0,0.1082
azure,2008-11-11 04:49:21.883,2016-04,2217.71,2.3,1.43,17309,Low,83.0,0.1034
web-services,2008-08-01 04:59:33.643,2014-04,3586.08,2.21,1.44,17303,Low,84.0,0.1033
xaml,2008-08-28 14:24:15.157,2014-04,2769.47,2.21,1.44,17191,Low,85.0,0.1027
hadoop,2008-08-20 10:43:13.227,2015-07,3534.64,1.91,1.41,16606,Low,86.0,0.0992
winforms,2008-08-05 20:05:22.077,2013-10,4740.91,2.71,1.83,16433,Low,87.0,0.0981
t-sql,2008-08-05 18:15:47.727,2013-08,10960.08,5.58,2.27,16344,Low,88.0,0.0976
google-chrome,2008-09-02 15:12:55.033,2014-01,6342.28,4.91,1.51,16231,Low,89.0,0.0969
validation,2008-08-04 16:44:25.167,2014-01,4299.61,2.58,1.71,16185,Low,90.0,0.0967
magento,2008-12-17 00:17:38.590,2013-01,2388.13,0.97,1.37,16086,Low,91.0,0.0961
wcf,2008-08-07 02:50:13.320,2012-10,3014.28,2.32,1.39,16012,Low,92.0,0.0956
codeigniter,2008-08-16 19:27:20.473,2013-03,2812.5,0.9,1.63,15988,Low,93.0,0.0955
sorting,2008-08-02 00:40:58.200,2015-04,4816.56,3.85,2.06,15880,Low,94.0,0.0948
spring-mvc,2008-09-26 17:07:49.043,2015-09,6177.65,3.01,1.48,15860,Low,95.0,0.0947
amazon-web-services,2008-08-27 15:31:27.517,2016-05,5133.85,4.77,1.6,15750,Low,96.0,0.0941
batch-file,2008-08-19 00:21:12.237,2014-03,6782.97,2.58,1.7,15693,Low,97.0,0.0937
list,2008-08-23 19:17:34.353,2014-03,7918.85,5.42,2.17,15594,Low,98.0,0.0931
authentication,2008-08-03 11:21:54.520,2016-03,3588.02,2.81,1.46,15510,Low,99.0,0.0926
google-maps,2008-08-05 20:24:42.960,2014-03,3253.68,1.72,1.34,15293,Low,100.0,0.0913
javascript,2008-08-03 21:42:37.903,2016-03,4533.73,3.14,1.73,999167,Low,1.0,5.7163
java,2008-08-01 16:08:52.353,2014-03,4832.81,2.98,1.81,924607,Low,2.0,5.2897
c#,2008-07-31 21:42:52.667,2014-03,4353.91,3.2,1.82,780301,Low,3.0,4.4641
php,2008-08-01 12:50:18.587,2014-03,3021.22,1.55,1.73,717938,Low,4.0,4.1074
android,2008-08-26 15:30:38.367,2014-03,3631.17,2.88,1.54,553910,Low,5.0,3.1689
python,2008-08-02 03:35:55.697,2016-03,8422.28,5.83,1.82,535077,Low,6.0,3.0612
c++,2008-08-01 12:13:50.207,2014-03,3989.28,3.66,1.94,363070,Low,7.0,2.0771
ios,2008-08-02 10:47:08.460,2015-07,2626.01,2.82,1.56,335592,Low,8.0,1.9199
html,2008-07-31 22:08:08.620,2014-03,4875.29,2.54,1.91,325181,Low,9.0,1.8604
jquery,2008-08-12 11:11:29.680,2013-03,3523.54,1.64,1.7,267164,Low,10.0,1.5285
sql,2008-08-01 12:35:56.917,2014-03,6179.65,2.88,1.99,205132,Low,11.0,1.1736
mysql,2008-08-01 05:09:55.993,2014-03,3952.84,2.2,1.7,178955,Low,12.0,1.0238
ruby-on-rails,2008-08-02 12:56:58.590,2014-03,1998.36,2.28,1.52,177523,Low,13.0,1.0156
css,2008-08-03 21:42:37.903,2014-03,5267.05,3.12,1.84,163305,Low,14.0,0.9343
c,2008-08-01 23:27:24.993,2014-03,4270.28,2.68,2.1,156171,Low,15.0,0.8935
r,2008-09-16 21:40:29.927,2016-04,4475.04,3.36,1.45,130584,Low,16.0,0.7471
asp.net,2008-08-01 19:23:13.117,2013-04,3401.22,2.07,1.71,110253,Low,17.0,0.6308
angularjs,2009-10-19 11:41:47.043,2015-07,3443.25,2.51,1.4,107146,Low,18.0,0.613
iphone,2008-08-04 19:02:36.777,2012-07,3059.39,2.72,1.92,92896,Low,19.0,0.5315
objective-c,2008-08-12 15:31:40.200,2012-08,2270.8,2.59,1.67,77458,Low,20.0,0.4431
node.js,2009-08-23 00:55:49.140,2016-08,5416.25,4.53,1.44,75874,Low,21.0,0.4341
sql-server,2008-08-01 18:33:08.333,2016-08,5966.62,2.95,1.82,70552,Low,22.0,0.4036
.net,2008-08-01 00:59:11.177,2010-08,4245.08,4.37,1.99,68185,Low,23.0,0.3901
ruby,2008-08-01 13:38:27.133,2013-03,2804.73,3.51,1.78,68068,Low,24.0,0.3894
linux,2008-08-01 14:36:18.640,2014-03,7860.86,5.24,1.79,66749,Low,25.0,0.3819
json,2008-08-14 23:13:32.493,2016-04,4575.21,2.93,1.57,64961,Low,26.0,0.3716
asp.net-mvc,2008-08-06 21:43:33.923,2014-03,3762.98,2.72,1.59,64425,Low,27.0,0.3686
ajax,2008-08-04 17:53:32.500,2014-03,2963.78,1.64,1.54,61452,Low,28.0,0.3516
excel,2008-08-05 16:47:28.873,2016-06,5857.35,1.21,1.52,57028,Low,29.0,0.3263
regex,2008-08-04 13:47:10.547,2015-07,4411.76,3.12,2.04,53991,Low,30.0,0.3089
git,2008-08-05 18:29:14.283,2016-01,15087.04,19.75,1.94,53019,Low,31.0,0.3033
vb.net,2008-08-01 12:43:11.503,2014-03,3102.73,1.1,1.48,52811,Low,32.0,0.3021
xml,2008-08-01 15:50:08.537,2014-03,3062.09,1.93,1.49,51839,Low,33.0,0.2966
django,2008-08-21 19:41:57.870,2013-03,3423.44,3.44,1.49,49317,Low,34.0,0.2821
swift,2009-01-19 16:55:32.907,2015-07,3959.57,4.44,1.65,48012,Low,35.0,0.2747
vba,2008-08-22 13:24:24.697,2016-06,4651.59,1.07,1.5,47576,Low,36.0,0.2722
arrays,2008-08-01 12:30:57.630,2016-03,4125.9,2.62,1.87,46378,Low,37.0,0.2653
database,2008-08-01 14:19:52.510,2014-03,4291.26,3.09,1.82,46052,Low,38.0,0.2635
matlab,2008-08-07 18:47:58.487,2015-04,2049.25,1.22,1.34,44261,Low,39.0,0.2532
windows,2008-08-01 15:22:29.467,2014-03,8766.92,4.97,1.78,44135,Low,40.0,0.2525
wordpress,2008-08-17 16:35:15.920,2014-03,2070.61,0.85,1.35,41917,Low,41.0,0.2398
wpf,2008-08-11 01:34:34.773,2013-01,3929.35,3.2,1.54,39598,Low,42.0,0.2265
scala,2008-09-10 13:15:29.083,2016-03,2791.58,4.12,1.56,39065,Low,43.0,0.2235
bash,2008-08-11 10:40:41.363,2016-04,8670.03,7.58,2.13,38693,Low,44.0,0.2214
twitter-bootstrap,2010-01-28 18:22:43.573,2015-07,6048.53,2.59,1.67,37590,Low,45.0,0.2151
xcode,2008-08-08 04:25:11.630,2012-11,3301.18,3.78,1.62,36223,Low,46.0,0.2072
spring,2008-09-11 18:43:19.940,2016-08,5361.07,2.85,1.41,34637,Low,47.0,0.1982
mongodb,2008-09-08 20:16:16.717,2016-02,3840.83,3.1,1.35,33410,Low,48.0,0.1911
eclipse,2008-08-01 13:56:33.837,2014-03,4307.56,3.16,1.59,32821,Low,49.0,0.1878
algorithm,2008-08-01 18:42:19.343,2015-04,4370.42,5.47,2.36,30755,Low,50.0,0.176
string,2008-08-02 06:57:57.957,2014-03,8450.32,5.68,2.37,30454,Low,51.0,0.1742
macos,2008-08-04 18:51:38.543,2015-10,5287.54,5.02,1.62,29510,Low,52.0,0.1688
forms,2008-08-02 19:51:50.250,2014-03,4026.27,2.05,1.69,29278,Low,53.0,0.1675
apache,2008-08-05 21:45:11.033,2014-01,3920.24,1.97,1.33,28189,Low,54.0,0.1613
oracle,2008-08-02 01:52:54.653,2014-11,6525.55,1.89,1.63,27791,Low,55.0,0.159
perl,2008-08-06 02:53:13.033,2013-05,2564.7,2.42,2.08,27441,Low,56.0,0.157
facebook,2008-08-21 21:38:43.190,2012-07,2135.01,1.48,1.17,25413,Low,57.0,0.1454
postgresql,2008-08-03 17:44:07.450,2016-06,7463.12,5.4,1.57,25363,Low,58.0,0.1451
image,2008-08-02 17:01:58.500,2014-04,4824.61,2.49,1.61,24830,Low,59.0,0.1421
entity-framework,2008-08-14 00:24:43.320,2014-01,3284.67,2.9,1.47,24823,Low,60.0,0.142
visual-studio,2008-08-03 14:53:53.550,2016-04,5390.51,6.17,1.92,24469,Low,61.0,0.14
powershell,2008-08-05 18:01:32.547,2016-03,7960.37,3.64,1.63,23752,Low,62.0,0.1359
.htaccess,2008-08-12 03:58:21.910,2014-03,1787.72,1.13,1.28,22597,Low,63.0,0.1293
hibernate,2008-08-25 17:25:22.610,2014-09,4373.23,2.26,1.37,21879,Low,64.0,0.1252
performance,2008-08-01 05:21:22.257,2013-07,4178.44,6.81,2.05,21669,Low,65.0,0.124
python-2.7,2010-04-02 17:42:16.030,2016-03,4048.15,2.15,1.47,21553,Low,66.0,0.1233
delphi,2008-08-12 12:10:14.663,2013-05,2928.53,2.6,1.75,21442,Low,67.0,0.1227
shell,2008-08-04 21:04:06.407,2014-03,7317.84,5.22,1.95,21186,Low,68.0,0.1212
laravel,2012-06-07 08:46:37.830,2016-05,6188.89,3.3,1.64,20807,Low,69.0,0.119
symfony,2010-02-23 20:53:34.540,2016-02,2635.79,1.94,1.33,20562,Low,70.0,0.1176
rest,2008-08-04 17:53:32.500,2015-07,5190.51,4.17,1.46,20247,Low,71.0,0.1158
multithreading,2008-08-04 07:30:01.727,2014-03,3260.41,3.77,1.73,20235,Low,72.0,0.1158
maven,2008-09-16 10:34:05.223,2015-07,5728.97,3.55,1.45,20084,Low,73.0,0.1149
uitableview,2008-09-24 15:54:26.390,2015-08,2134.79,1.88,1.76,19989,Low,74.0,0.1144
cordova,2009-07-03 23:52:38.623,2015-07,2094.26,1.69,1.27,19971,Low,75.0,0.1143
haskell,2008-08-05 14:16:02.720,2014-11,1368.39,5.35,1.7,19890,Low,76.0,0.1138
actionscript-3,2008-08-05 16:09:12.570,2013-04,1044.96,0.56,1.39,19401,Low,77.0,0.111
sqlite,2008-08-01 22:34:42.853,2015-03,3157.67,2.54,1.47,19024,Low,78.0,0.1088
qt,2008-08-20 21:16:24.030,2013-08,3316.25,2.46,1.36,18879,Low,79.0,0.108
linq,2008-08-01 13:20:46.890,2013-03,3920.45,3.22,1.89,18746,Low,80.0,0.1072
sql-server-2008,2008-08-12 21:47:45.277,2013-03,6656.05,2.51,1.88,18698,Low,81.0,0.107
asp.net-mvc-4,2010-07-09 10:17:44.757,2013-08,3471.09,1.99,1.43,18597,Low,82.0,0.1064
azure,2008-11-11 04:49:21.883,2016-04,2197.72,2.25,1.42,18583,Low,83.0,0.1063
xaml,2008-08-28 14:24:15.157,2014-04,2721.89,2.17,1.43,17886,Low,84.0,0.1023
web-services,2008-08-01 04:59:33.643,2014-04,3536.39,2.17,1.42,17800,Low,85.0,0.1018
hadoop,2008-08-20 10:43:13.227,2015-07,3472.27,1.89,1.39,17437,Low,86.0,0.0998
amazon-web-services,2008-08-27 15:31:27.517,2016-05,4989.54,4.64,1.58,17247,Low,87.0,0.0987
t-sql,2008-08-05 18:15:47.727,2013-08,10610.15,5.41,2.26,16980,Low,88.0,0.0971
google-chrome,2008-09-02 15:12:55.033,2014-01,6220.95,4.83,1.5,16893,Low,89.0,0.0966
winforms,2008-08-05 20:05:22.077,2013-10,4647.19,2.66,1.81,16876,Low,90.0,0.0965
python-3.x,2008-08-29 16:20:43.467,2016-03,5090.44,3.08,1.6,16832,Low,91.0,0.0963
validation,2008-08-04 16:44:25.167,2014-01,4237.96,2.54,1.7,16780,Low,92.0,0.096
codeigniter,2008-08-16 19:27:20.473,2013-03,2751.94,0.89,1.62,16710,Low,93.0,0.0956
spring-mvc,2008-09-26 17:07:49.043,2015-09,6157.89,3.0,1.47,16615,Low,94.0,0.0951
sorting,2008-08-02 00:40:58.200,2015-04,4690.66,3.73,2.04,16584,Low,95.0,0.0949
batch-file,2008-08-19 00:21:12.237,2014-03,6562.07,2.5,1.68,16436,Low,96.0,0.094
magento,2008-12-17 00:17:38.590,2013-01,2361.92,0.96,1.37,16386,Low,97.0,0.0937
wcf,2008-08-07 02:50:13.320,2012-10,2981.76,2.3,1.39,16286,Low,98.0,0.0932
list,2008-08-23 19:17:34.353,2014-03,7662.96,5.23,2.15,16245,Low,99.0,0.0929
authentication,2008-08-03 11:21:54.520,2016-03,3584.98,2.82,1.45,16155,Low,100.0,0.0924
javascript,2008-08-03 21:42:37.903,2016-03,4442.26,3.07,1.72,1049085,Low,1.0,5.7583
java,2008-08-01 16:08:52.353,2014-03,4729.26,2.91,1.79,960361,Low,2.0,5.2713
c#,2008-07-31 21:42:52.667,2014-03,4276.37,3.14,1.81,807213,Low,3.0,4.4307
php,2008-08-01 12:50:18.587,2014-03,2976.05,1.53,1.72,743709,Low,4.0,4.0821
android,2008-08-26 15:30:38.367,2014-03,3570.96,2.84,1.53,575292,Low,5.0,3.1577
python,2008-08-02 03:35:55.697,2016-11,8162.63,5.62,1.8,567918,Low,6.0,3.1172
c++,2008-08-01 12:13:50.207,2014-03,3901.23,3.59,1.92,376509,Low,7.0,2.0666
ios,2008-08-02 10:47:08.460,2015-07,2592.95,2.78,1.55,349701,Low,8.0,1.9194
html,2008-07-31 22:08:08.620,2014-03,4759.42,2.48,1.9,339373,Low,9.0,1.8628
jquery,2008-08-12 11:11:29.680,2013-03,3463.8,1.62,1.69,274141,Low,10.0,1.5047
sql,2008-08-01 12:35:56.917,2014-03,6019.1,2.81,1.98,212954,Low,11.0,1.1689
mysql,2008-08-01 05:09:55.993,2014-03,3856.24,2.14,1.69,185863,Low,12.0,1.0202
ruby-on-rails,2008-08-02 12:56:58.590,2014-03,1969.92,2.25,1.51,182738,Low,13.0,1.003
css,2008-08-03 21:42:37.903,2014-03,5155.79,3.06,1.83,169742,Low,14.0,0.9317
c,2008-08-01 23:27:24.993,2014-03,4153.96,2.6,2.07,162837,Low,15.0,0.8938
r,2008-09-16 21:40:29.927,2016-04,4333.08,3.26,1.44,138473,Low,16.0,0.7601
angularjs,2009-10-19 11:41:47.043,2015-07,3323.5,2.42,1.39,113076,Low,17.0,0.6207
asp.net,2008-08-01 19:23:13.117,2013-04,3365.32,2.05,1.69,112340,Low,18.0,0.6166
iphone,2008-08-04 19:02:36.777,2012-07,3048.76,2.71,1.91,93382,Low,19.0,0.5126
node.js,2009-08-23 00:55:49.140,2016-08,5290.71,4.38,1.43,81300,Low,20.0,0.4462
objective-c,2008-08-12 15:31:40.200,2012-08,2252.12,2.57,1.66,78400,Low,21.0,0.4303
sql-server,2008-08-01 18:33:08.333,2016-08,5800.79,2.87,1.8,73822,Low,22.0,0.4052
ruby,2008-08-01 13:38:27.133,2013-03,2756.59,3.45,1.78,70008,Low,23.0,0.3843
linux,2008-08-01 14:36:18.640,2014-03,7670.74,5.1,1.78,69419,Low,24.0,0.381
.net,2008-08-01 00:59:11.177,2010-08,4210.76,4.32,1.98,69399,Low,25.0,0.3809
json,2008-08-14 23:13:32.493,2016-04,4476.7,2.85,1.57,68466,Low,26.0,0.3758
asp.net-mvc,2008-08-06 21:43:33.923,2014-03,3695.78,2.67,1.58,66510,Low,27.0,0.3651
ajax,2008-08-04 17:53:32.500,2014-03,2909.2,1.61,1.53,63706,Low,28.0,0.3497
excel,2008-08-05 16:47:28.873,2016-06,5638.18,1.17,1.5,60278,Low,29.0,0.3309
regex,2008-08-04 13:47:10.547,2015-07,4320.75,3.05,2.03,55710,Low,30.0,0.3058
git,2008-08-05 18:29:14.283,2016-01,14674.8,19.13,1.93,55395,Low,31.0,0.3041
vb.net,2008-08-01 12:43:11.503,2014-03,3045.12,1.08,1.47,54340,Low,32.0,0.2983
xml,2008-08-01 15:50:08.537,2014-03,3001.25,1.89,1.48,53514,Low,33.0,0.2937
swift,2009-01-19 16:55:32.907,2015-07,3794.86,4.24,1.63,52242,Low,34.0,0.2867
django,2008-08-21 19:41:57.870,2013-03,3364.87,3.37,1.48,51204,Low,35.0,0.2811
vba,2008-08-22 13:24:24.697,2016-06,4488.78,1.04,1.49,50425,Low,36.0,0.2768
arrays,2008-08-01 12:30:57.630,2016-03,4040.43,2.55,1.85,48901,Low,37.0,0.2684
database,2008-08-01 14:19:52.510,2014-03,4202.22,3.01,1.8,47700,Low,38.0,0.2618
matlab,2008-08-07 18:47:58.487,2015-04,2002.61,1.2,1.33,45782,Low,39.0,0.2513
windows,2008-08-01 15:22:29.467,2014-03,8630.28,4.88,1.76,45651,Low,40.0,0.2506
wordpress,2008-08-17 16:35:15.920,2014-03,2036.94,0.84,1.35,43875,Low,41.0,0.2408
scala,2008-09-10 13:15:29.083,2016-11,2761.28,4.0,1.55,41663,Low,42.0,0.2287
bash,2008-08-11 10:40:41.363,2016-04,8370.93,7.3,2.11,40584,Low,43.0,0.2228
wpf,2008-08-11 01:34:34.773,2013-01,3878.93,3.16,1.54,40325,Low,44.0,0.2213
twitter-bootstrap,2010-01-28 18:22:43.573,2015-07,5878.38,2.51,1.66,39494,Low,45.0,0.2168
xcode,2008-08-08 04:25:11.630,2012-11,3255.36,3.71,1.61,37730,Low,46.0,0.2071
spring,2008-09-11 18:43:19.940,2016-08,5280.06,2.82,1.4,36326,Low,47.0,0.1994
mongodb,2008-09-08 20:16:16.717,2016-02,3750.02,3.02,1.35,35308,Low,48.0,0.1938
eclipse,2008-08-01 13:56:33.837,2014-03,4247.08,3.11,1.58,33488,Low,49.0,0.1838
algorithm,2008-08-01 18:42:19.343,2015-04,4249.29,5.31,2.32,31995,Low,50.0,0.1756
string,2008-08-02 06:57:57.957,2014-03,8226.52,5.52,2.35,31623,Low,51.0,0.1736
macos,2008-08-04 18:51:38.543,2015-10,5212.62,4.95,1.61,30478,Low,52.0,0.1673
forms,2008-08-02 19:51:50.250,2014-03,3952.44,2.01,1.68,30251,Low,53.0,0.166
apache,2008-08-05 21:45:11.033,2014-01,3846.86,1.93,1.32,29227,Low,54.0,0.1604
oracle,2008-08-02 01:52:54.653,2014-11,6348.81,1.84,1.62,29022,Low,55.0,0.1593
perl,2008-08-06 02:53:13.033,2013-05,2527.45,2.39,2.07,28018,Low,56.0,0.1538
postgresql,2008-08-03 17:44:07.450,2016-06,7240.66,5.24,1.55,26857,Low,57.0,0.1474
facebook,2008-08-21 21:38:43.190,2012-07,2111.59,1.47,1.17,25982,Low,58.0,0.1426
entity-framework,2008-08-14 00:24:43.320,2014-01,3250.42,2.87,1.46,25696,Low,59.0,0.141
visual-studio,2008-08-03 14:53:53.550,2016-04,5260.73,6.01,1.89,25611,Low,60.0,0.1406
image,2008-08-02 17:01:58.500,2014-04,4731.88,2.45,1.6,25590,Low,61.0,0.1405
powershell,2008-08-05 18:01:32.547,2016-08,7696.34,3.5,1.62,25262,Low,62.0,0.1387
.htaccess,2008-08-12 03:58:21.910,2014-03,1755.77,1.11,1.27,23322,Low,63.0,0.128
python-2.7,2010-04-02 17:42:16.030,2016-03,3963.69,2.1,1.45,23079,Low,64.0,0.1267
laravel,2012-06-07 08:46:37.830,2016-05,5943.27,3.17,1.64,22877,Low,65.0,0.1256
hibernate,2008-08-25 17:25:22.610,2014-09,4296.04,2.22,1.36,22760,Low,66.0,0.1249
performance,2008-08-01 05:21:22.257,2013-07,4101.42,6.67,2.03,22330,Low,67.0,0.1226
shell,2008-08-04 21:04:06.407,2014-03,7138.28,5.09,1.94,22036,Low,68.0,0.121
delphi,2008-08-12 12:10:14.663,2013-03,2892.47,2.58,1.74,21910,Low,69.0,0.1203
symfony,2010-02-23 20:53:34.540,2016-02,2595.83,1.91,1.33,21480,Low,70.0,0.1179
rest,2008-08-04 17:53:32.500,2015-07,5057.73,4.05,1.45,21294,Low,71.0,0.1169
maven,2008-09-16 10:34:05.223,2015-07,5599.27,3.47,1.44,20973,Low,72.0,0.1151
multithreading,2008-08-04 07:30:01.727,2014-03,3192.42,3.7,1.71,20902,Low,73.0,0.1147
uitableview,2008-09-24 15:54:26.390,2015-08,2100.72,1.85,1.75,20768,Low,74.0,0.114
haskell,2008-08-05 14:16:02.720,2014-11,1340.3,5.24,1.69,20752,Low,75.0,0.1139
cordova,2009-07-03 23:52:38.623,2015-07,2097.05,1.69,1.26,20743,Low,76.0,0.1139
azure,2008-11-11 04:49:21.883,2016-04,2178.14,2.22,1.41,19986,Low,77.0,0.1097
sqlite,2008-08-01 22:34:42.853,2015-03,3077.41,2.47,1.45,19761,Low,78.0,0.1085
actionscript-3,2008-08-05 16:09:12.570,2014-03,1037.23,0.56,1.39,19586,Low,79.0,0.1075
qt,2008-08-20 21:16:24.030,2013-08,3256.85,2.42,1.35,19577,Low,80.0,0.1075
angular,2013-11-14 10:12:42.260,2016-10,9597.01,7.4,1.67,19400,Low,81.0,0.1065
linq,2008-08-01 13:20:46.890,2013-03,3831.24,3.15,1.88,19389,Low,82.0,0.1064
sql-server-2008,2008-08-12 21:47:45.277,2013-03,6558.06,2.47,1.88,19092,Low,83.0,0.1048
python-3.x,2008-08-29 16:20:43.467,2016-11,4865.96,2.91,1.58,18906,Low,84.0,0.1038
asp.net-mvc-4,2010-07-09 10:17:44.757,2013-08,3436.44,1.96,1.42,18893,Low,85.0,0.1037
amazon-web-services,2008-08-27 15:31:27.517,2016-12,4988.48,4.65,1.57,18844,Low,86.0,0.1034
xaml,2008-08-28 14:24:15.157,2014-04,2673.14,2.13,1.42,18497,Low,87.0,0.1015
web-services,2008-08-01 04:59:33.643,2014-04,3479.15,2.13,1.41,18269,Low,88.0,0.1003
hadoop,2008-08-20 10:43:13.227,2015-07,3417.07,1.86,1.38,18215,Low,89.0,0.1
t-sql,2008-08-05 18:15:47.727,2013-08,10284.38,5.25,2.25,17668,Low,90.0,0.097
google-chrome,2008-09-02 15:12:55.033,2014-01,6098.19,4.74,1.48,17558,Low,91.0,0.0964
codeigniter,2008-08-16 19:27:20.473,2013-03,2694.31,0.87,1.61,17392,Low,92.0,0.0955
validation,2008-08-04 16:44:25.167,2014-01,4222.87,2.52,1.69,17359,Low,93.0,0.0953
winforms,2008-08-05 20:05:22.077,2013-10,4551.11,2.6,1.79,17352,Low,94.0,0.0952
spring-mvc,2008-09-26 17:07:49.043,2015-09,6094.6,2.95,1.47,17345,Low,95.0,0.0952
sorting,2008-08-02 00:40:58.200,2015-04,4592.74,3.64,2.03,17296,Low,96.0,0.0949
batch-file,2008-08-19 00:21:12.237,2014-03,6374.38,2.41,1.67,17130,Low,97.0,0.094
list,2008-08-23 19:17:34.353,2014-03,7403.47,5.04,2.14,17029,Low,98.0,0.0935
authentication,2008-08-03 11:21:54.520,2016-03,3549.23,2.78,1.44,16810,Low,99.0,0.0923
